"cruise_id";"site_id";"profile_id";"profile_depth_min";"profile_depth_max";"sample_include_in_profile";"cast_id";"sample_id";"subsample_id";"cruise_description";"site_lon_start_decimal";"site_lon_end_decimal";"site_lat_start_decimal";"site_lat_end_decimal";"site_water_depth";"published";"profile_date_time";"profile_date_precision";"contributors";"profile_note";"profile_env_data_availability";"profile_env_data_ref_id";"subsample_morpho_data_availability";"subsample_morpho_data_ref_id";"profile_chemical_data_availability";"profile_chemical_data_ref_id";"profile_season";"sample_season";"site_ocean_basin";"cast_min_depth";"cast_max_depth";"cast_night_day";"cast_sampling_device_name";"cast_mesh_size";"cast_net_op_m2";"profile_stratified";"cast_note";"sampling_device_type";"sample_min_depth";"sample_max_depth";"sample_volume_filtered";"sample_segment_length";"sample_date_time_start";"sample_date_start_precision";"sample_date_time_end";"sample_date_end_precision";"subsample_storage_type";"subsample_splitting_type";"subsample_picking_date";"sample_note";"sample_sst";"sample_sss";"sample_in_situ_temperature";"sample_in_situ_salinity";"sample_dcm";"sample_mld";"sample_oxygen";"sample_date_time_start_utc";"sample_date_time_end_utc";"sample_lon";"sample_lat";"subsample_count_type";"subsample_count_digitized";"subsample_sieved_or_measured";"ref_id";"source";"subsample_size_fraction_min";"subsample_size_fraction_max";"subsample_living_or_dead";"subsample_all_shells_present_were_counted";"subsample_absolute_abundance_available";"subsample_note";"count_ref_id";"count_note";"species_name";"count_bin_min";"count_bin_max"
"620ZC_2015";"620ZC_2015_St1";"620ZC_2015_St1_C1";5;10;TRUE;"620ZC_2015_St1_C1";"620ZC_2015_St1_C1_33";"620ZC_2015_St1_C1_33";NA;-47.052;-52.487;51.702;46.857;NA;FALSE;"20/07/2015";"D";"Julie Meilland and Gregory Beaugrand";NA;FALSE;NA;FALSE;NA;NA;NA;"summer (JJA)";NA;"North Atlantic Ocean";5;10;NA;"CPR";270;NA;FALSE;NA;"CPR";5;10;3;10;"21/07/2015 00:00";"H";"21/07/2015 00:00";"H";"Formaldehyde";NA;NA;"batten_2003";NA;NA;NA;NA;NA;NA;NA;NA;NA;-51.933;47.407;"Bin_Raw";FALSE;NA;"nbadatabase_2017";"https://doi.org/10.17031/7p59-1497 ";270;NA;NA;1;TRUE;NA;"NBAdatabase_2017";"blank=0 forams";"all_species_unID";"0";"0"
"621SA_2013";"621SA_2013_St1";"621SA_2013_St1_C1";5;10;TRUE;"621SA_2013_St1_C1";"621SA_2013_St1_C1_29";"621SA_2013_St1_C1_29";NA;-3.187;-5.91;43.572;50.152;NA;FALSE;"12/08/2013";"D";"Julie Meilland and Gregory Beaugrand";NA;FALSE;NA;FALSE;NA;NA;NA;"summer (JJA)";NA;"North Atlantic Ocean";5;10;NA;"CPR";270;NA;FALSE;NA;"CPR";5;10;3;10;"13/08/2013 00:00";"H";"13/08/2013 00:00";"H";"Formaldehyde";NA;NA;"batten_2003";NA;NA;NA;NA;NA;NA;NA;NA;NA;-5.807;47.865;"Bin_Raw";FALSE;NA;"nbadatabase_2017";"https://doi.org/10.17031/7p59-1497 ";270;NA;NA;1;TRUE;NA;"NBAdatabase_2017";"blank=0 forams";"all_species_unID";"0";"0"
"621V_1998";"621V_1998_St1";"621V_1998_St1_C1";5;10;TRUE;"621V_1998_St1_C1";"621V_1998_St1_C1_39";"621V_1998_St1_C1_39";NA;-5.1767;-16.8767;59.4517;63.0167;NA;FALSE;"14/08/1998";"D";"Julie Meilland and Gregory Beaugrand";NA;FALSE;NA;FALSE;NA;NA;NA;"summer (JJA)";NA;"North Atlantic Ocean";5;10;NA;"CPR";270;NA;FALSE;NA;"CPR";5;10;3;10;"15/08/1998 00:00";"H";"15/08/1998 00:00";"H";"Formaldehyde";NA;NA;"batten_2003";NA;NA;NA;NA;NA;NA;NA;NA;NA;-16.26;62.8383;"Bin_Raw";FALSE;NA;"nbadatabase_2017";"https://doi.org/10.17031/7p59-1497 ";270;NA;NA;1;TRUE;NA;"NBAdatabase_2017";"blank=0 forams";"all_species_unID";"0";"0"
"621ZB_2015";"621ZB_2015_St1";"621ZB_2015_St1_C1";5;10;TRUE;"621ZB_2015_St1_C1";"621ZB_2015_St1_C1_29";"621ZB_2015_St1_C1_29";NA;-38.192;-46.388;57.852;52.237;NA;FALSE;"22/08/2015";"D";"Julie Meilland and Gregory Beaugrand";NA;FALSE;NA;FALSE;NA;NA;NA;"summer (JJA)";NA;"North Atlantic Ocean";5;10;NA;"CPR";270;NA;FALSE;NA;"CPR";5;10;3;10;"22/08/2015 00:00";"H";"22/08/2015 00:00";"H";"Formaldehyde";NA;NA;"batten_2003";NA;NA;NA;NA;NA;NA;NA;NA;NA;-43.715;54.358;"Bin_Raw";FALSE;NA;"nbadatabase_2017";"https://doi.org/10.17031/7p59-1497 ";270;NA;NA;1;TRUE;NA;"NBAdatabase_2017";"blank=0 forams";"all_species_unID";"850";"900"
"623C_2005";"623C_2005_St1";"623C_2005_St1_C1";5;10;TRUE;"623C_2005_St1_C1";"623C_2005_St1_C1_1";"623C_2005_St1_C1_1";NA;0.546659279;7.857829793;53.71236165;56.98398031;NA;FALSE;"06/04/2005";"D";"Julie Meilland and Gregory Beaugrand";NA;FALSE;NA;FALSE;NA;NA;NA;"spring (MAM)";NA;"North Atlantic Ocean";5;10;NA;"CPR";270;NA;FALSE;NA;"CPR";5;10;3;10;"06/04/2005 00:00";"H";"06/04/2005 00:00";"H";"Formaldehyde";NA;NA;"batten_2003";NA;NA;NA;NA;NA;NA;NA;NA;NA;0.546659279;53.71236165;"Bin_Raw";FALSE;NA;"nbadatabase_2017";"https://doi.org/10.17031/7p59-1497 ";270;NA;NA;1;TRUE;NA;"NBAdatabase_2017";"blank=0 forams";"all_species_unID";"0";"0"
"623LR_2016";"623LR_2016_St1";"623LR_2016_St1_C1";5;10;TRUE;"623LR_2016_St1_C1";"623LR_2016_St1_C1_27";"623LR_2016_St1_C1_27";NA;0.29;-6.518;53.828;59.765;NA;FALSE;"21/04/2016";"D";"Julie Meilland and Gregory Beaugrand";NA;FALSE;NA;FALSE;NA;NA;NA;"spring (MAM)";NA;"North Atlantic Ocean";5;10;NA;"CPR";270;NA;FALSE;NA;"CPR";5;10;3;10;"22/04/2016 00:00";"H";"22/04/2016 00:00";"H";"Formaldehyde";NA;NA;"batten_2003";NA;NA;NA;NA;NA;NA;NA;NA;NA;-2.097;57.93;"Bin_Raw";FALSE;NA;"nbadatabase_2017";"https://doi.org/10.17031/7p59-1497 ";270;NA;NA;1;TRUE;NA;"NBAdatabase_2017";"blank=0 forams";"all_species_unID";"0";"0"
"623X_1994";"623X_1994_St1";"623X_1994_St1_C1";5;10;TRUE;"623X_1994_St1_C1";"623X_1994_St1_C1_1";"623X_1994_St1_C1_1";NA;-8.1183;-19.125;55.3483;52.6967;NA;FALSE;"27/04/1994";"D";"Julie Meilland and Gregory Beaugrand";NA;FALSE;NA;FALSE;NA;NA;NA;"spring (MAM)";NA;"North Atlantic Ocean";5;10;NA;"CPR";270;NA;FALSE;NA;"CPR";5;10;3;10;"27/04/1994 00:00";"H";"27/04/1994 00:00";"H";"Formaldehyde";NA;NA;"batten_2003";NA;NA;NA;NA;NA;NA;NA;NA;NA;-8.1183;55.3483;"Bin_Raw";FALSE;NA;"nbadatabase_2017";"https://doi.org/10.17031/7p59-1497 ";270;NA;NA;1;TRUE;NA;"NBAdatabase_2017";"blank=0 forams";"all_species_unID";"0";"0"
"624X_1994";"624X_1994_St1";"624X_1994_St1_C1";5;10;TRUE;"624X_1994_St1_C1";"624X_1994_St1_C1_37";"624X_1994_St1_C1_37";NA;-19.2967;-8.3633;52.5867;55.315;NA;FALSE;"17/05/1994";"D";"Julie Meilland and Gregory Beaugrand";NA;FALSE;NA;FALSE;NA;NA;NA;"spring (MAM)";NA;"North Atlantic Ocean";5;10;NA;"CPR";270;NA;FALSE;NA;"CPR";5;10;3;10;"17/05/1994 00:00";"H";"18/05/1994 00:00";"H";"Formaldehyde";NA;NA;"batten_2003";NA;NA;NA;NA;NA;NA;NA;NA;NA;-17.7783;52.975;"Bin_Raw";FALSE;NA;"nbadatabase_2017";"https://doi.org/10.17031/7p59-1497 ";270;NA;NA;1;TRUE;NA;"NBAdatabase_2017";"blank=0 forams";"all_species_unID";"50";"100"
"624X_1994";"624X_1994_St1";"624X_1994_St1_C1";5;10;TRUE;"624X_1994_St1_C1";"624X_1994_St1_C1_21";"624X_1994_St1_C1_21";NA;-19.2967;-8.3633;52.5867;55.315;NA;FALSE;"17/05/1994";"D";"Julie Meilland and Gregory Beaugrand";NA;FALSE;NA;FALSE;NA;NA;NA;"spring (MAM)";NA;"North Atlantic Ocean";5;10;NA;"CPR";270;NA;FALSE;NA;"CPR";5;10;3;10;"18/05/1994 00:00";"H";"18/05/1994 00:00";"H";"Formaldehyde";NA;NA;"batten_2003";NA;NA;NA;NA;NA;NA;NA;NA;NA;-13.66;54.015;"Bin_Raw";FALSE;NA;"nbadatabase_2017";"https://doi.org/10.17031/7p59-1497 ";270;NA;NA;1;TRUE;NA;"NBAdatabase_2017";"blank=0 forams";"all_species_unID";"100";"150"
"625C_2005";"625C_2005_St1";"625C_2005_St1_C1";5;10;TRUE;"625C_2005_St1_C1";"625C_2005_St1_C1_21";"625C_2005_St1_C1_21";NA;7.9708196;0.705770048;57.08706462;53.78069661;NA;FALSE;"18/06/2005";"D";"Julie Meilland and Gregory Beaugrand";NA;FALSE;NA;FALSE;NA;NA;NA;"summer (JJA)";NA;"North Atlantic Ocean";5;10;NA;"CPR";270;NA;FALSE;NA;"CPR";5;10;3;10;"18/06/2005 00:00";"H";"18/06/2005 00:00";"H";"Formaldehyde";NA;NA;"batten_2003";NA;NA;NA;NA;NA;NA;NA;NA;NA;5.397105408;55.69103597;"Bin_Raw";FALSE;NA;"nbadatabase_2017";"https://doi.org/10.17031/7p59-1497 ";270;NA;NA;1;TRUE;NA;"NBAdatabase_2017";"blank=0 forams";"all_species_unID";"0";"0"
